match_id,match_date,year,round,venue,crowd,home_team,away_team,home_score,away_score,margin_home,is_final,target_result,target_margin,decade,venue_state,away_team_state,away_is_interstate,team_home,form_win_rate_last5_home,form_avg_score_last5_home,form_avg_margin_last5_home,win_streak_home,days_rest_home,ladder_pos_before_home,h2h_win_rate_prior_home,is_interstate_home,team_away,form_win_rate_last5_away,form_avg_score_last5_away,form_avg_margin_last5_away,win_streak_away,days_rest_away,ladder_pos_before_away,h2h_win_rate_prior_away,is_interstate_away
Carlton Blues_Collingwood Magpies_1983-04-09_3,1983-04-09,1983,3,Waverley Park,69596.0,Carlton Blues,Collingwood Magpies,97,87,10,False,HOME_WIN,10,1980,VIC,VIC,0,Carlton Blues,0.5,109.0,21.5,-1.0,7.0,3.0,1.0,0,Collingwood Magpies,0.5,115.5,2.5,-1.0,7.0,3.0,,0
Essendon Bombers_Fitzroy Lions_1983-04-09_3,1983-04-09,1983,3,Junction Oval,21478.0,Fitzroy Lions,Essendon Bombers,97,56,41,False,HOME_WIN,41,1980,VIC,VIC,0,Fitzroy Lions,0.5,100.0,13.0,1.0,5.0,3.0,,0,Essendon Bombers,0.5,120.5,30.0,1.0,5.0,3.0,0.0,0
Geelong Cats_Richmond Tigers_1983-04-09_3,1983-04-09,1983,3,GMHBA Stadium,21269.0,Geelong Cats,Richmond Tigers,94,46,48,False,HOME_WIN,48,1980,VIC,VIC,0,Geelong Cats,1.0,103.5,18.0,2.0,7.0,1.0,1.0,0,Richmond Tigers,0.0,88.0,-39.5,-2.0,7.0,11.0,,0
North Melbourne Kangaroos_Sydney Swans_1983-04-10_3,1983-04-10,1983,3,Sydney Cricket Ground,11831.0,Sydney Swans,North Melbourne Kangaroos,45,185,-140,False,AWAY_WIN,-140,1980,NSW,VIC,1,Sydney Swans,0.5,78.0,-12.0,-1.0,6.0,3.0,,0,North Melbourne Kangaroos,0.5,71.5,-16.0,-1.0,6.0,3.0,1.0,1
Carlton Blues_Melbourne Demons_1983-04-16_4,1983-04-16,1983,4,Melbourne Cricket Ground,38544.0,Melbourne Demons,Carlton Blues,90,99,-9,False,AWAY_WIN,-9,1980,VIC,VIC,0,Melbourne Demons,0.3333333333333333,107.66666666666667,-7.666666666666667,-1.0,7.0,7.0,0.0,0,Carlton Blues,0.6666666666666666,105.0,17.666666666666668,1.0,7.0,3.0,,0
Hawthorn Hawks_Western Bulldogs_1983-04-16_4,1983-04-16,1983,4,Princes Park,16504.0,Hawthorn Hawks,Western Bulldogs,97,118,-21,False,AWAY_WIN,-21,1980,VIC,VIC,0,Hawthorn Hawks,1.0,124.0,57.666666666666664,3.0,7.0,1.0,,0,Western Bulldogs,0.6666666666666666,95.0,6.0,2.0,7.0,3.0,1.0,0
Collingwood Magpies_Essendon Bombers_1983-04-16_4,1983-04-16,1983,4,Windy Hill,28250.0,Essendon Bombers,Collingwood Magpies,141,117,24,False,HOME_WIN,24,1980,VIC,VIC,0,Essendon Bombers,0.3333333333333333,99.0,6.333333333333333,-1.0,7.0,7.0,1.0,0,Collingwood Magpies,0.3333333333333333,106.0,-1.6666666666666667,-2.0,7.0,7.0,,0
North Melbourne Kangaroos_Richmond Tigers_1983-04-16_4,1983-04-16,1983,4,Aegis Park,14970.0,North Melbourne Kangaroos,Richmond Tigers,127,103,24,False,HOME_WIN,24,1980,TAS,VIC,1,North Melbourne Kangaroos,0.6666666666666666,109.33333333333333,36.0,1.0,6.0,3.0,1.0,1,Richmond Tigers,0.0,74.0,-42.333333333333336,-3.0,7.0,11.0,,1
Fitzroy Lions_Sydney Swans_1983-04-16_4,1983-04-16,1983,4,Junction Oval,10738.0,Fitzroy Lions,Sydney Swans,125,52,73,False,HOME_WIN,73,1980,VIC,NSW,1,Fitzroy Lions,0.6666666666666666,99.0,22.333333333333332,2.0,7.0,3.0,,0,Sydney Swans,0.3333333333333333,67.0,-54.666666666666664,-2.0,6.0,7.0,0.0,1
Geelong Cats_St Kilda Saints_1983-04-16_4,1983-04-16,1983,4,Waverley Park,20826.0,St Kilda Saints,Geelong Cats,79,90,-11,False,AWAY_WIN,-11,1980,VIC,VIC,0,St Kilda Saints,0.0,66.33333333333333,-67.66666666666667,-3.0,7.0,11.0,,0,Geelong Cats,1.0,100.33333333333333,28.0,3.0,7.0,1.0,1.0,0
Collingwood Magpies_Hawthorn Hawks_1983-04-23_5,1983-04-23,1983,5,Victoria Park,28506.0,Collingwood Magpies,Hawthorn Hawks,73,95,-22,False,AWAY_WIN,-22,1980,VIC,VIC,0,Collingwood Magpies,0.25,108.75,-7.25,-3.0,7.0,8.0,,0,Hawthorn Hawks,0.75,117.25,38.0,-1.0,7.0,2.0,1.0,0
Carlton Blues_Fitzroy Lions_1983-04-23_5,1983-04-23,1983,5,Princes Park,25789.0,Carlton Blues,Fitzroy Lions,65,125,-60,False,AWAY_WIN,-60,1980,VIC,VIC,0,Carlton Blues,0.75,103.5,15.5,2.0,7.0,2.0,0.0,0,Fitzroy Lions,0.75,105.5,35.0,3.0,7.0,2.0,,0
St Kilda Saints_Sydney Swans_1983-04-24_5,1983-04-24,1983,5,Sydney Cricket Ground,11276.0,Sydney Swans,St Kilda Saints,160,137,23,False,HOME_WIN,23,1980,NSW,VIC,1,Sydney Swans,0.25,63.25,-59.25,-3.0,8.0,8.0,,0,St Kilda Saints,0.0,69.5,-53.5,-4.0,8.0,11.0,0.0,1
Richmond Tigers_Western Bulldogs_1983-04-25_5,1983-04-25,1983,5,Melbourne Cricket Ground,51651.0,Richmond Tigers,Western Bulldogs,114,116,-2,False,AWAY_WIN,-2,1980,VIC,VIC,0,Richmond Tigers,0.0,81.25,-37.75,-4.0,9.0,11.0,,0,Western Bulldogs,0.75,100.75,9.75,3.0,9.0,2.0,1.0,0
Geelong Cats_Melbourne Demons_1983-04-25_5,1983-04-25,1983,5,GMHBA Stadium,28591.0,Geelong Cats,Melbourne Demons,110,121,-11,False,AWAY_WIN,-11,1980,VIC,VIC,0,Geelong Cats,1.0,97.75,23.75,4.0,9.0,1.0,,0,Melbourne Demons,0.25,103.25,-8.0,-2.0,9.0,8.0,1.0,0
Essendon Bombers_North Melbourne Kangaroos_1983-04-25_5,1983-04-25,1983,5,Waverley Park,47722.0,Essendon Bombers,North Melbourne Kangaroos,128,123,5,False,HOME_WIN,5,1980,VIC,VIC,0,Essendon Bombers,0.5,109.5,10.75,1.0,9.0,7.0,,0,North Melbourne Kangaroos,0.75,113.75,33.0,2.0,9.0,2.0,0.0,0
Collingwood Magpies_North Melbourne Kangaroos_1983-04-30_6,1983-04-30,1983,6,Victoria Park,28315.0,Collingwood Magpies,North Melbourne Kangaroos,130,108,22,False,HOME_WIN,22,1980,VIC,VIC,0,Collingwood Magpies,0.2,101.6,-10.2,-4.0,7.0,10.0,,0,North Melbourne Kangaroos,0.6,115.6,25.4,-1.0,5.0,5.0,0.0,0
Carlton Blues_Geelong Cats_1983-04-30_6,1983-04-30,1983,6,Princes Park,25480.0,Carlton Blues,Geelong Cats,85,95,-10,False,AWAY_WIN,-10,1980,VIC,VIC,0,Carlton Blues,0.6,95.8,0.4,-1.0,7.0,5.0,0.0,0,Geelong Cats,0.8,100.2,16.8,-1.0,5.0,1.0,,0
Melbourne Demons_Sydney Swans_1983-04-30_6,1983-04-30,1983,6,Melbourne Cricket Ground,22590.0,Melbourne Demons,Sydney Swans,126,93,33,False,HOME_WIN,33,1980,VIC,NSW,1,Melbourne Demons,0.4,106.8,-4.2,1.0,5.0,8.0,1.0,0,Sydney Swans,0.4,82.6,-42.8,1.0,6.0,8.0,,1
Hawthorn Hawks_Richmond Tigers_1983-04-30_6,1983-04-30,1983,6,Waverley Park,33096.0,Hawthorn Hawks,Richmond Tigers,88,106,-18,False,AWAY_WIN,-18,1980,VIC,VIC,0,Hawthorn Hawks,0.8,112.8,34.8,1.0,7.0,1.0,,0,Richmond Tigers,0.0,87.8,-30.6,-5.0,5.0,11.0,1.0,0
Essendon Bombers_Western Bulldogs_1983-04-30_6,1983-04-30,1983,6,Windy Hill,26387.0,Essendon Bombers,Western Bulldogs,181,49,132,False,HOME_WIN,132,1980,VIC,VIC,0,Essendon Bombers,0.6,113.2,9.6,2.0,5.0,5.0,1.0,0,Western Bulldogs,0.8,103.8,8.2,4.0,5.0,1.0,,0
Fitzroy Lions_St Kilda Saints_1983-04-30_6,1983-04-30,1983,6,Moorabbin Oval,16154.0,St Kilda Saints,Fitzroy Lions,102,143,-41,False,AWAY_WIN,-41,1980,VIC,VIC,0,St Kilda Saints,0.0,83.0,-47.4,-5.0,6.0,11.0,0.0,0,Fitzroy Lions,0.8,109.4,40.0,4.0,7.0,1.0,,0
Fitzroy Lions_Geelong Cats_1983-05-07_7,1983-05-07,1983,7,Junction Oval,18770.0,Fitzroy Lions,Geelong Cats,76,67,9,False,HOME_WIN,9,1980,VIC,VIC,0,Fitzroy Lions,1.0,115.6,52.0,5.0,7.0,1.0,1.0,0,Geelong Cats,0.8,98.0,12.6,1.0,7.0,1.0,,0
Hawthorn Hawks_North Melbourne Kangaroos_1983-05-07_7,1983-05-07,1983,7,Princes Park,13958.0,Hawthorn Hawks,North Melbourne Kangaroos,91,142,-51,False,AWAY_WIN,-51,1980,VIC,VIC,0,Hawthorn Hawks,0.6,104.2,27.4,-1.0,7.0,3.0,0.0,0,North Melbourne Kangaroos,0.4,117.2,18.4,-2.0,7.0,6.0,,0
Collingwood Magpies_Western Bulldogs_1983-05-07_7,1983-05-07,1983,7,Western Oval,31479.0,Western Bulldogs,Collingwood Magpies,82,88,-6,False,AWAY_WIN,-6,1980,VIC,VIC,0,Western Bulldogs,0.8,98.6,-12.0,-1.0,7.0,3.0,,0,Collingwood Magpies,0.2,100.6,-7.8,1.0,7.0,9.0,1.0,0
Essendon Bombers_Richmond Tigers_1983-05-07_7,1983-05-07,1983,7,Melbourne Cricket Ground,49707.0,Richmond Tigers,Essendon Bombers,112,137,-25,False,AWAY_WIN,-25,1980,VIC,VIC,0,Richmond Tigers,0.2,93.8,-15.0,1.0,7.0,11.0,0.0,0,Essendon Bombers,0.8,127.4,36.2,3.0,7.0,3.0,,0
Melbourne Demons_St Kilda Saints_1983-05-07_7,1983-05-07,1983,7,Waverley Park,25192.0,Melbourne Demons,St Kilda Saints,108,75,33,False,HOME_WIN,33,1980,VIC,VIC,0,Melbourne Demons,0.6,107.0,4.4,2.0,7.0,6.0,1.0,0,St Kilda Saints,0.0,86.0,-53.0,-6.0,7.0,12.0,,0
Carlton Blues_Sydney Swans_1983-05-08_7,1983-05-08,1983,7,Sydney Cricket Ground,15432.0,Sydney Swans,Carlton Blues,118,149,-31,False,AWAY_WIN,-31,1980,NSW,VIC,1,Sydney Swans,0.2,79.0,-49.6,-1.0,8.0,9.0,0.0,0,Carlton Blues,0.4,85.6,-13.6,-2.0,8.0,6.0,,1
Fitzroy Lions_Melbourne Demons_1983-05-14_8,1983-05-14,1983,8,Melbourne Cricket Ground,33758.0,Melbourne Demons,Fitzroy Lions,87,126,-39,False,AWAY_WIN,-39,1980,VIC,VIC,0,Melbourne Demons,0.6,104.8,7.2,3.0,7.0,4.0,0.0,0,Fitzroy Lions,1.0,113.2,44.8,6.0,7.0,1.0,,0
Collingwood Magpies_Richmond Tigers_1983-05-14_8,1983-05-14,1983,8,Waverley Park,58780.0,Collingwood Magpies,Richmond Tigers,107,59,48,False,HOME_WIN,48,1980,VIC,VIC,0,Collingwood Magpies,0.4,99.0,-5.6,2.0,7.0,9.0,1.0,0,Richmond Tigers,0.2,96.2,-16.2,-1.0,7.0,11.0,,0
Essendon Bombers_Hawthorn Hawks_1983-05-14_8,1983-05-14,1983,8,Princes Park,21835.0,Hawthorn Hawks,Essendon Bombers,137,95,42,False,HOME_WIN,42,1980,VIC,VIC,0,Hawthorn Hawks,0.4,108.4,12.2,-2.0,7.0,4.0,1.0,0,Essendon Bombers,0.8,128.6,29.0,4.0,7.0,2.0,,0
Geelong Cats_Sydney Swans_1983-05-14_8,1983-05-14,1983,8,GMHBA Stadium,17650.0,Geelong Cats,Sydney Swans,84,110,-26,False,AWAY_WIN,-26,1980,VIC,NSW,1,Geelong Cats,0.6,91.2,9.8,-1.0,7.0,2.0,0.0,0,Sydney Swans,0.2,93.6,-50.8,-2.0,6.0,10.0,,1
Carlton Blues_St Kilda Saints_1983-05-14_8,1983-05-14,1983,8,Moorabbin Oval,19016.0,St Kilda Saints,Carlton Blues,89,145,-56,False,AWAY_WIN,-56,1980,VIC,VIC,0,St Kilda Saints,0.0,87.0,-47.4,-7.0,7.0,12.0,0.0,0,Carlton Blues,0.6,99.0,-4.0,1.0,6.0,4.0,,0
North Melbourne Kangaroos_Western Bulldogs_1983-05-14_8,1983-05-14,1983,8,Aegis Park,15556.0,North Melbourne Kangaroos,Western Bulldogs,189,74,115,False,HOME_WIN,115,1980,TAS,VIC,1,North Melbourne Kangaroos,0.6,137.0,37.6,1.0,7.0,4.0,,1,Western Bulldogs,0.6,95.2,-16.6,-2.0,7.0,4.0,0.0,1
Fitzroy Lions_Western Bulldogs_1983-05-21_9,1983-05-21,1983,9,Waverley Park,22336.0,Fitzroy Lions,Western Bulldogs,99,145,-46,False,AWAY_WIN,-46,1980,VIC,VIC,0,Fitzroy Lions,1.0,119.0,44.4,7.0,7.0,1.0,,0,Western Bulldogs,0.4,87.8,-46.0,-3.0,7.0,7.0,1.0,0
Geelong Cats_North Melbourne Kangaroos_1983-05-21_9,1983-05-21,1983,9,GMHBA Stadium,21802.0,Geelong Cats,North Melbourne Kangaroos,84,124,-40,False,AWAY_WIN,-40,1980,VIC,VIC,0,Geelong Cats,0.4,89.2,-5.0,-2.0,7.0,2.0,0.0,0,North Melbourne Kangaroos,0.6,137.8,32.6,2.0,7.0,2.0,,0
Essendon Bombers_Melbourne Demons_1983-05-21_9,1983-05-21,1983,9,Windy Hill,19955.0,Essendon Bombers,Melbourne Demons,149,115,34,False,HOME_WIN,34,1980,VIC,VIC,0,Essendon Bombers,0.8,136.4,28.8,-1.0,7.0,2.0,1.0,0,Melbourne Demons,0.6,106.4,5.8,-1.0,7.0,7.0,,0
Carlton Blues_Hawthorn Hawks_1983-05-21_9,1983-05-21,1983,9,Princes Park,30660.0,Carlton Blues,Hawthorn Hawks,104,96,8,False,HOME_WIN,8,1980,VIC,VIC,0,Carlton Blues,0.6,108.6,5.2,2.0,7.0,2.0,1.0,0,Hawthorn Hawks,0.4,101.6,-5.2,1.0,7.0,2.0,,0
Richmond Tigers_St Kilda Saints_1983-05-21_9,1983-05-21,1983,9,Moorabbin Oval,20686.0,St Kilda Saints,Richmond Tigers,108,93,15,False,HOME_WIN,15,1980,VIC,VIC,0,St Kilda Saints,0.0,96.4,-32.8,-8.0,7.0,12.0,1.0,0,Richmond Tigers,0.2,98.8,-16.2,-2.0,7.0,11.0,,0
Collingwood Magpies_Sydney Swans_1983-05-22_9,1983-05-22,1983,9,Sydney Cricket Ground,15305.0,Sydney Swans,Collingwood Magpies,121,100,21,False,HOME_WIN,21,1980,NSW,VIC,1,Sydney Swans,0.4,106.6,-17.6,1.0,8.0,10.0,1.0,0,Collingwood Magpies,0.6,103.0,6.0,3.0,8.0,7.0,,1
Collingwood Magpies_Fitzroy Lions_1983-05-28_10,1983-05-28,1983,10,Victoria Park,32820.0,Collingwood Magpies,Fitzroy Lions,77,93,-16,False,AWAY_WIN,-16,1980,VIC,VIC,0,Collingwood Magpies,0.6,99.6,6.6,-1.0,6.0,8.0,,0,Fitzroy Lions,0.8,113.8,20.6,-1.0,7.0,1.0,1.0,0
St Kilda Saints_Western Bulldogs_1983-05-28_10,1983-05-28,1983,10,Western Oval,19247.0,Western Bulldogs,St Kilda Saints,128,82,46,False,HOME_WIN,46,1980,VIC,VIC,0,Western Bulldogs,0.4,93.2,-41.0,1.0,7.0,5.0,1.0,0,St Kilda Saints,0.2,102.2,-27.6,1.0,7.0,11.0,,0
Carlton Blues_North Melbourne Kangaroos_1983-05-28_10,1983-05-28,1983,10,Aegis Park,23425.0,North Melbourne Kangaroos,Carlton Blues,193,82,111,False,HOME_WIN,111,1980,TAS,VIC,1,North Melbourne Kangaroos,0.6,137.2,35.8,3.0,7.0,2.0,1.0,1,Carlton Blues,0.6,109.6,5.0,3.0,7.0,2.0,,1
Richmond Tigers_Sydney Swans_1983-05-28_10,1983-05-28,1983,10,Melbourne Cricket Ground,21047.0,Richmond Tigers,Sydney Swans,106,94,12,False,HOME_WIN,12,1980,VIC,NSW,1,Richmond Tigers,0.2,96.8,-14.4,-3.0,7.0,11.0,,0,Sydney Swans,0.6,120.4,1.2,2.0,6.0,8.0,0.0,1
Hawthorn Hawks_Melbourne Demons_1983-05-28_10,1983-05-28,1983,10,Waverley Park,23989.0,Melbourne Demons,Hawthorn Hawks,109,171,-62,False,AWAY_WIN,-62,1980,VIC,VIC,0,Melbourne Demons,0.6,111.4,0.8,-2.0,7.0,8.0,,0,Hawthorn Hawks,0.4,101.4,-2.6,-1.0,7.0,5.0,1.0,0
Essendon Bombers_Geelong Cats_1983-05-28_10,1983-05-28,1983,10,Windy Hill,20793.0,Essendon Bombers,Geelong Cats,109,97,12,False,HOME_WIN,12,1980,VIC,VIC,0,Essendon Bombers,0.8,138.0,30.8,1.0,7.0,2.0,1.0,0,Geelong Cats,0.2,88.0,-15.2,-3.0,7.0,5.0,,0
Carlton Blues_Essendon Bombers_1983-06-04_11,1983-06-04,1983,11,Waverley Park,60619.0,Carlton Blues,Essendon Bombers,101,126,-25,False,AWAY_WIN,-25,1980,VIC,VIC,0,Carlton Blues,0.6,113.0,-5.2,-1.0,7.0,4.0,,0,Essendon Bombers,0.8,134.2,32.2,2.0,7.0,2.0,1.0,0
Melbourne Demons_North Melbourne Kangaroos_1983-06-04_11,1983-06-04,1983,11,Melbourne Cricket Ground,25249.0,Melbourne Demons,North Melbourne Kangaroos,125,139,-14,False,AWAY_WIN,-14,1980,VIC,VIC,0,Melbourne Demons,0.4,109.0,-13.8,-3.0,7.0,8.0,0.0,0,North Melbourne Kangaroos,0.8,151.2,59.0,4.0,7.0,2.0,,0
Collingwood Magpies_St Kilda Saints_1983-06-04_11,1983-06-04,1983,11,Moorabbin Oval,25153.0,St Kilda Saints,Collingwood Magpies,144,160,-16,False,AWAY_WIN,-16,1980,VIC,VIC,0,St Kilda Saints,0.2,91.2,-32.2,-1.0,7.0,12.0,,0,Collingwood Magpies,0.6,100.4,7.8,-2.0,7.0,8.0,1.0,0
Fitzroy Lions_Richmond Tigers_1983-06-04_11,1983-06-04,1983,11,Junction Oval,16153.0,Fitzroy Lions,Richmond Tigers,136,114,22,False,HOME_WIN,22,1980,VIC,VIC,0,Fitzroy Lions,0.8,107.4,11.8,1.0,7.0,1.0,1.0,0,Richmond Tigers,0.4,95.2,-11.6,1.0,7.0,11.0,,0
Geelong Cats_Hawthorn Hawks_1983-06-04_11,1983-06-04,1983,11,Princes Park,13482.0,Hawthorn Hawks,Geelong Cats,88,95,-7,False,AWAY_WIN,-7,1980,VIC,VIC,0,Hawthorn Hawks,0.4,116.6,5.4,1.0,7.0,4.0,0.0,0,Geelong Cats,0.2,85.4,-15.4,-4.0,7.0,7.0,,0
Sydney Swans_Western Bulldogs_1983-06-05_11,1983-06-05,1983,11,Sydney Cricket Ground,10710.0,Sydney Swans,Western Bulldogs,121,102,19,False,HOME_WIN,19,1980,NSW,VIC,1,Sydney Swans,0.4,107.2,-5.8,-1.0,8.0,8.0,1.0,0,Western Bulldogs,0.4,95.6,-32.2,2.0,8.0,4.0,,1
North Melbourne Kangaroos_St Kilda Saints_1983-06-11_12,1983-06-11,1983,12,Moorabbin Oval,16467.0,St Kilda Saints,North Melbourne Kangaroos,104,135,-31,False,AWAY_WIN,-31,1980,VIC,VIC,0,St Kilda Saints,0.2,99.6,-27.2,-2.0,7.0,12.0,0.0,0,North Melbourne Kangaroos,1.0,157.4,66.2,5.0,7.0,2.0,1.0,0
Fitzroy Lions_Hawthorn Hawks_1983-06-11_12,1983-06-11,1983,12,Princes Park,20708.0,Hawthorn Hawks,Fitzroy Lions,167,134,33,False,HOME_WIN,33,1980,VIC,VIC,0,Hawthorn Hawks,0.4,116.6,7.6,-1.0,7.0,4.0,1.0,0,Fitzroy Lions,0.8,106.0,8.0,2.0,7.0,1.0,0.0,0
Essendon Bombers_Sydney Swans_1983-06-11_12,1983-06-11,1983,12,Windy Hill,20012.0,Essendon Bombers,Sydney Swans,156,83,73,False,HOME_WIN,73,1980,VIC,NSW,1,Essendon Bombers,0.8,123.2,10.8,3.0,7.0,2.0,0.3333333333333333,0,Sydney Swans,0.6,112.8,4.6,1.0,6.0,8.0,1.0,1
Collingwood Magpies_Melbourne Demons_1983-06-13_12,1983-06-13,1983,12,Waverley Park,55380.0,Collingwood Magpies,Melbourne Demons,87,68,19,False,HOME_WIN,19,1980,VIC,VIC,0,Collingwood Magpies,0.6,106.4,6.6,1.0,9.0,8.0,1.0,0,Melbourne Demons,0.2,108.8,-23.2,-4.0,9.0,10.0,0.0,0
Geelong Cats_Western Bulldogs_1983-06-13_12,1983-06-13,1983,12,Western Oval,25382.0,Western Bulldogs,Geelong Cats,102,91,11,False,HOME_WIN,11,1980,VIC,VIC,0,Western Bulldogs,0.4,106.2,-9.6,-1.0,8.0,4.0,0.0,0,Geelong Cats,0.2,85.4,-16.0,1.0,9.0,4.0,0.6666666666666666,0
Carlton Blues_Richmond Tigers_1983-06-13_12,1983-06-13,1983,12,Melbourne Cricket Ground,48243.0,Richmond Tigers,Carlton Blues,141,91,50,False,HOME_WIN,50,1980,VIC,VIC,0,Richmond Tigers,0.2,96.8,-19.6,-1.0,9.0,11.0,0.3333333333333333,0,Carlton Blues,0.6,116.2,-8.2,-2.0,9.0,4.0,1.0,0
Melbourne Demons_Richmond Tigers_1983-06-18_13,1983-06-18,1983,13,Melbourne Cricket Ground,28468.0,Melbourne Demons,Richmond Tigers,123,109,14,False,HOME_WIN,14,1980,VIC,VIC,0,Melbourne Demons,0.0,100.8,-33.6,-5.0,5.0,10.0,1.0,0,Richmond Tigers,0.4,102.6,-4.6,1.0,5.0,11.0,0.0,0
Essendon Bombers_St Kilda Saints_1983-06-18_13,1983-06-18,1983,13,Waverley Park,30616.0,St Kilda Saints,Essendon Bombers,91,138,-47,False,AWAY_WIN,-47,1980,VIC,VIC,0,St Kilda Saints,0.2,105.4,-26.8,-3.0,7.0,12.0,0.0,0,Essendon Bombers,0.8,127.0,20.4,4.0,7.0,1.0,1.0,0
